trialsSoundtest.thisRepN,trialsSoundtest.thisTrialN,trialsSoundtest.thisN,trialsSoundtest.thisIndex,env_grating.started,env_grating.stopped,TextWelcome.started,TextWelcome.stopped,env_grating_2.started,env_grating_2.stopped,textReady.started,textReady.stopped,key_resp_ready.keys,key_resp_ready.rt,key_resp_ready.started,key_resp_ready.stopped,env_grating_4.started,env_grating_4.stopped,ThousandHzSound.started,ThousandHzSound.stopped,ResponseTime.keys,ResponseTime.rt,ResponseTime.started,ResponseTime.stopped,env_grating_5.started,env_grating_5.stopped,random_duration,text.started,text.stopped,env_grating_3.started,env_grating_3.stopped,textEnd.started,textEnd.stopped,participant,gender,date,expName,psychopyVersion,frameRate,
80,0,80,0,,,,,,,,,,,,,335.6823412810845,None,335.68022849472436,None,space,0.29155746706965147,335.6823412810845,None,335.99705032783095,None,4,335.99705032783095,None,,,,,24,,2021_May_03_1429,aPVT,3.2.3,59.63115822780247,
81,0,81,0,,,,,,,,,,,,,339.99836808606415,None,339.99697062867017,340.2473280030972,space,0.3590009848594491,339.99836808606415,None,340.3818486724449,None,5,340.3818486724449,None,,,,,24,,2021_May_03_1429,aPVT,3.2.3,59.63115822780247,
82,0,82,0,,,,,,,,,,,,,345.3823689928322,None,345.3818836579685,345.63196926985984,space,0.3510163427890802,345.3823689928322,None,345.7669999959835,None,6,345.7669999959835,None,,,,,24,,2021_May_03_1429,aPVT,3.2.3,59.63115822780247,
83,0,83,0,,,,,,,,,,,,,351.768651990893,None,351.76730228159977,352.0175155192446,space,0.34074648571549915,351.768651990893,None,352.15086122840876,None,5,352.15086122840876,None,,,,,24,,2021_May_03_1429,aPVT,3.2.3,59.63115822780247,
84,0,84,0,,,,,,,,,,,,,357.1543981575451,None,357.1520042375287,357.40187699108355,space,0.37880216535631916,357.1543981575451,None,357.5687235684163,None,1,357.5687235684163,None,,,,,24,,2021_May_03_1429,aPVT,3.2.3,59.63115822780247,
85,0,85,0,,,,,,,,,,,,,358.5689774811908,None,358.56877327998336,358.81892761343624,space,0.34874406886228826,358.5689774811908,None,358.93591892997574,None,5,358.93591892997574,None,,,,,24,,2021_May_03_1429,aPVT,3.2.3,59.63115822780247,
86,0,86,0,,,,,,,,,,,,,363.939092170338,None,363.9360962673036,364.18565308017423,space,0.386161173479195,363.939092170338,None,364.3691931954927,None,4,364.3691931954927,None,,,,,24,,2021_May_03_1429,aPVT,3.2.3,59.63115822780247,
87,0,87,0,,,,,,,,,,,,,368.3713226713735,None,368.3695789287176,368.61922499037246,space,0.3380395702297392,368.3713226713735,None,368.73937259000377,None,6,368.73937259000377,None,,,,,24,,2021_May_03_1429,aPVT,3.2.3,59.63115822780247,
88,0,88,0,,,,,,,,,,,,,374.75304639552996,None,374.753063531296,375.0032339295285,space,0.3322058237499732,374.75304639552996,None,375.1029212464273,None,4,375.1029212464273,None,,,,,24,,2021_May_03_1429,aPVT,3.2.3,59.63115822780247,
89,0,89,0,,,,,,,,,,,,,379.10416582065955,None,379.1040584543789,379.3538946159315,space,0.36551123709068634,379.10416582065955,None,379.5039606377177,None,6,379.5039606377177,None,,,,,24,,2021_May_03_1429,aPVT,3.2.3,59.63115822780247,
90,0,90,0,,,,,,,,,,,,,385.50482590463434,None,385.5045275459652,385.75455603863884,space,0.4204648344166344,385.50482590463434,None,385.95826682439656,None,4,385.95826682439656,None,,,,,24,,2021_May_03_1429,aPVT,3.2.3,59.63115822780247,
91,0,91,0,,,,,,,,,,,,,389.97222533353124,None,389.97211082734975,390.222122362753,space,0.3208163407398388,389.97222533353124,None,390.32571654498315,None,1,390.32571654498315,None,,,,,24,,2021_May_03_1429,aPVT,3.2.3,59.63115822780247,
92,0,92,0,,,,,,,,,,,,,391.339355543485,None,391.33888047223263,391.58898348763614,space,0.39362638765305746,391.339355543485,None,391.7566846220325,None,4,391.7566846220325,None,,,,,24,,2021_May_03_1429,aPVT,3.2.3,59.63115822780247,
93,0,93,0,,,,,,,,,,,,,395.7564333867158,None,395.7559569767309,396.00609926159814,space,0.36844439823471475,395.7564333867158,None,396.15798640473076,None,3,396.15798640473076,None,,,,,24,,2021_May_03_1429,aPVT,3.2.3,59.63115822780247,
94,0,94,0,,,,,,,,,,,,,399.15718673566516,None,399.15709811162924,399.4067388183539,space,0.35962260260930634,399.15718673566516,None,399.54015414156675,None,1,399.54015414156675,None,,,,,24,,2021_May_03_1429,aPVT,3.2.3,59.63115822780247,
95,0,95,0,,,,,,,,,,,,,400.5517368481851,None,400.550224706114,400.80039287312684,space,0.4290532444829296,400.5517368481851,None,401.0039813880576,None,2,401.0039813880576,None,,,,,24,,2021_May_03_1429,aPVT,3.2.3,59.63115822780247,
96,0,96,0,,,,,,,,,,,,,403.01875295357604,None,403.0174126154034,403.2674210270998,space,0.34633122810555506,403.01875295357604,None,403.3839129967164,None,2,403.3839129967164,None,,,,,24,,2021_May_03_1429,aPVT,3.2.3,59.63115822780247,
97,0,97,0,,,,,,,,,,,,,405.38552349094607,None,405.3840211662373,405.63373818066975,space,0.3953122970997356,405.38552349094607,None,405.817240365257,None,2,405.817240365257,None,,,,,24,,2021_May_03_1429,aPVT,3.2.3,59.63115822780247,
98,0,98,0,,,,,,,,,,,,,407.81931718435953,None,407.81736906199694,408.0675006370111,space,0.33748622779603465,407.81931718435953,None,408.1874028024977,None,6,408.1874028024977,None,,,,,24,,2021_May_03_1429,aPVT,3.2.3,59.63115822780247,
99,0,99,0,,,,,,,,,,,,,414.2011480070505,None,414.20100494125836,None,space,0.36366467984043993,414.2011480070505,None,414.5881829260834,None,2,414.5881829260834,None,,,,,24,,2021_May_03_1429,aPVT,3.2.3,59.63115822780247,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,416.6022016781426,None,416.6022016781426,None,,,,,,,
