BlockNum,TrialNum,Stim,Target,CorrAns,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials2.thisRepN,trials2.thisTrialN,trials2.thisN,trials2.thisIndex,trials3.thisRepN,trials3.thisTrialN,trials3.thisN,trials3.thisIndex,text.started,text.stopped,Fixation.started,Fixation.stopped,Stimulus.started,Stimulus.stopped,StimResp.keys,StimResp.corr,StimResp.started,StimResp.stopped,StimResp.rt,text_3.started,text_3.stopped,BreakMsg.started,BreakMsg.stopped,BreakResp.keys,BreakResp.rt,BreakResp.started,BreakResp.stopped,Fixation_2.started,Fixation_2.stopped,Stimulus_2.started,Stimulus_2.stopped,StimResp_2.keys,StimResp_2.corr,StimResp_2.started,StimResp_2.stopped,StimResp_2.rt,Fixation_3.started,Fixation_3.stopped,Stimulus_3.started,Stimulus_3.stopped,StimResp_3.keys,StimResp_3.corr,StimResp_3.started,StimResp_3.stopped,StimResp_3.rt,text_4.started,text_4.stopped,Gender,Age,participant,Ethnic,date,expName,psychopyVersion,frameRate,
2,19,two.wav,NT,n,,,,,0,18,18,18,,,,,,,,,,,,,,,,,,,,,,,,1341.806602834491,1342.321042044554,1342.321042044554,None,n,1,1342.321042044554,None,1.1779602112947032,,,,,,,,,,,,F,26,001,Chinese,2019_Jun_13_1717,ThreeBack_Digits,3.1.2,60.123132230491194,
2,20,four.wav,NT,n,,,,,0,19,19,19,,,,,,,,,,,,,,,,,,,,,,,,1344.320422465913,1344.8259560074657,1344.8259560074657,1345.354246940231,n,1,1344.8259560074657,None,1.06508274783846,,,,,,,,,,,,F,26,001,Chinese,2019_Jun_13_1717,ThreeBack_Digits,3.1.2,60.123132230491194,
2,21,three.wav,T,v,,,,,0,20,20,20,,,,,,,,,,,,,,,,,,,,,,,,1346.803376940894,1347.3127683534985,1347.3127683534985,1347.8127234987915,v,1,1347.3127683534985,None,0.986892574117519,,,,,,,,,,,,F,26,001,Chinese,2019_Jun_13_1717,ThreeBack_Digits,3.1.2,60.123132230491194,
2,22,five.wav,NT,n,,,,,0,21,21,21,,,,,,,,,,,,,,,,,,,,,,,,1349.31925077294,1349.8100599303143,1349.835680730641,1350.435607942054,n,1,1349.835680730641,None,1.2873937070835382,,,,,,,,,,,,F,26,001,Chinese,2019_Jun_13_1717,ThreeBack_Digits,3.1.2,60.123132230491194,
2,23,nine.wav,NT,n,,,,,0,22,22,22,,,,,,,,,,,,,,,,,,,,,,,,1351.8133346899413,1352.3184506813996,1352.3184506813996,1352.9681932589738,n,1,1352.3184506813996,None,0.9567644208436832,,,,,,,,,,,,F,26,001,Chinese,2019_Jun_13_1717,ThreeBack_Digits,3.1.2,60.123132230491194,
2,24,one.wav,NT,n,,,,,0,23,23,23,,,,,,,,,,,,,,,,,,,,,,,,1354.3173107149778,1354.8218406775268,1354.8218406775268,None,n,1,1354.8218406775268,None,0.9893544784281403,,,,,,,,,,,,F,26,001,Chinese,2019_Jun_13_1717,ThreeBack_Digits,3.1.2,60.123132230491194,
2,25,eight.wav,NT,n,,,,,0,24,24,24,,,,,,,,,,,,,,,,,,,,,,,,1356.7997364146868,1357.3166382587515,1357.3166382587515,1357.816178771318,n,1,1357.3166382587515,None,1.35042954783421,,,,,,,,,,,,F,26,001,Chinese,2019_Jun_13_1717,ThreeBack_Digits,3.1.2,60.123132230491194,
2,26,nine.wav,T,v,,,,,0,25,25,25,,,,,,,,,,,,,,,,,,,,,,,,1359.2991175653879,1359.78206948773,1359.8077103450196,1360.4572724096943,None,0,1359.8077103450196,None,,,,,,,,,,,,,F,26,001,Chinese,2019_Jun_13_1717,ThreeBack_Digits,3.1.2,60.123132230491194,
2,27,three.wav,NT,n,,,,,0,26,26,26,,,,,,,,,,,,,,,,,,,,,,,,1361.8085443511372,1362.2957089709817,1362.3222797432682,1362.7987539868336,n,1,1362.3222797432682,None,1.3451505478005856,,,,,,,,,,,,F,26,001,Chinese,2019_Jun_13_1717,ThreeBack_Digits,3.1.2,60.123132230491194,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,1364.3672876311466,None,1419.3444726215675,None,space,0.7584186485037208,1419.3444726215675,None,,,,,,,,,,,,,,,,,,,,,F,26,001,Chinese,2019_Jun_13_1717,ThreeBack_Digits,3.1.2,60.123132230491194,
