Wavelength,Low,Medium,High
760nm,7.999E-05,1.289E-04,8.526E-05
761nm,7.749E-05,1.254E-04,7.750E-05
762nm,7.391E-05,1.207E-04,7.063E-05
763nm,6.968E-05,1.118E-04,6.774E-05
764nm,6.520E-05,9.967E-05,6.819E-05
765nm,6.081E-05,8.821E-05,6.879E-05
766nm,5.691E-05,7.892E-05,6.840E-05
767nm,5.353E-05,7.843E-05,6.212E-05
768nm,5.130E-05,8.464E-05,5.153E-05
769nm,5.104E-05,9.223E-05,4.063E-05
770nm,5.335E-05,9.934E-05,3.082E-05
771nm,6.541E-05,1.004E-04,2.868E-05
772nm,8.205E-05,9.677E-05,3.106E-05
773nm,9.647E-05,9.098E-05,3.356E-05
774nm,1.053E-04,8.342E-05,3.445E-05
775nm,9.137E-05,7.429E-05,2.450E-05
776nm,6.543E-05,6.428E-05,9.671E-06
777nm,3.698E-05,5.410E-05,0.000E+00
778nm,1.026E-05,4.431E-05,0.000E+00
779nm,2.466E-06,3.626E-05,0.000E+00
780nm,2.950E-06,2.966E-05,0.000E+00
